id,nb_of_available_parking_spaces,ferme,parking_id,date
52623,185,f,LPA0702,2024-12-15 19:37:08
52626,388,f,LPA0716,2024-12-15 19:37:08
52639,1461,f,LPA0739,2024-12-15 19:38:09
52643,145,f,LPA0759,2024-12-15 19:38:09
52641,170,f,LPA0756,2024-12-15 19:38:09
52640,780,f,LPA0749,2024-12-15 19:38:09
52638,169,f,LPA0732,2024-12-15 19:38:09
52642,971,f,LPA0758,2024-12-15 19:38:09
52636,313,f,LPA0724,2024-12-15 19:38:09
52633,413,f,LPA0766,2024-12-15 19:38:09
52637,226,f,LPA0729,2024-12-15 19:38:09
52635,481,f,LPA0706,2024-12-15 19:38:09
52634,186,f,LPA0702,2024-12-15 19:38:09
52653,970,f,LPA0758,2024-12-15 19:39:07
52652,171,f,LPA0756,2024-12-15 19:39:07
52651,1529,f,LPA0750,2024-12-15 19:39:07
52649,289,f,LPA0746,2024-12-15 19:39:07
52650,782,f,LPA0749,2024-12-15 19:39:07
52647,168,f,LPA0732,2024-12-15 19:39:07
52646,223,f,LPA0729,2024-12-15 19:39:07
52645,68,f,LPA0764,2024-12-15 19:39:07
52644,412,f,LPA0766,2024-12-15 19:39:07
52648,1458,f,LPA0739,2024-12-15 19:39:07
52661,290,f,LPA0746,2024-12-15 19:40:09
52666,602,f,LPA0768,2024-12-15 19:40:09
52664,170,f,LPA0756,2024-12-15 19:40:09
52663,1530,f,LPA0750,2024-12-15 19:40:09
52662,783,f,LPA0749,2024-12-15 19:40:09
52660,1456,f,LPA0739,2024-12-15 19:40:09
52665,969,f,LPA0758,2024-12-15 19:40:09
52658,222,f,LPA0729,2024-12-15 19:40:09
52657,69,f,LPA0764,2024-12-15 19:40:09
52656,274,f,LPA0765,2024-12-15 19:40:09
52655,482,f,LPA0706,2024-12-15 19:40:09
52654,411,f,LPA0766,2024-12-15 19:40:09
52659,30,f,LPA0738,2024-12-15 19:40:09
52677,203,f,LPA0776,2024-12-15 19:41:09
52675,784,f,LPA0749,2024-12-15 19:41:09
52674,112,f,LPA0740,2024-12-15 19:41:09
52673,1455,f,LPA0739,2024-12-15 19:41:09
52672,221,f,LPA0729,2024-12-15 19:41:09
52676,967,f,LPA0758,2024-12-15 19:41:09
52670,67,f,LPA0764,2024-12-15 19:41:09
52671,314,f,LPA0724,2024-12-15 19:41:09
52667,184,f,LPA0702,2024-12-15 19:41:09
52668,483,f,LPA0706,2024-12-15 19:41:09
52669,273,f,LPA0765,2024-12-15 19:41:09
52684,1531,f,LPA0750,2024-12-15 19:42:08
52687,202,f,LPA0776,2024-12-15 19:42:08
